OBJECTID,DIVISION_NUM,YEAR,DIVISION_SCORE,Shape__Area,Shape__Length
1823,5025,2018,1.54022988505747,591560.85736084,3110.280883802
1824,0917,2018,1.66666666666667,963842.543701172,4696.80824637606
1825,5710,2018,1.54838709677419,3975177.05743408,10820.449808346
1826,0904,2018,1.36363636363636,2216909.47161865,6157.65205751785
1827,6305,2018,1.3968253968254,2239824.15405273,6406.82564105671
1828,5725,2018,1.66666666666667,1600122.42840576,8064.74511849804
1829,5015,2018,1.50980392156863,1090260.65582275,4332.9309078299
1830,0902,2018,1.92,4757900.36639404,8648.79119234271
1831,5621,2018,1.53846153846154,1212416.42376709,6437.55978721791
1832,5027,2018,1.44715447154472,1294443.13787842,5123.67056938649
1833,1015,2018,1.7843137254902,721884.747314453,3643.26238739964
1834,1001,2018,2.08080808080808,932073.937744141,4816.94279607641
1835,5006,2018,1.65811965811966,1337251.8145752,5901.26472560882
1836,5726,2018,1.45833333333333,2083991.58123779,7074.59068360243
1837,5620,2018,1.45736434108527,2196396.53277588,7792.30335952822
1838,5711,2018,1.43589743589744,3300297.04669189,8136.29510701833
1839,1029,2018,1.77777777777778,2675025.72442627,6651.52720712591
1840,5607,2018,1.51388888888889,2435429.04211426,6676.78426469071
1841,5616,2018,1.53846153846154,1393628.92272949,6078.17987810006
1842,5723,2018,,1308135.74755859,5631.4648629648
1843,1025,2018,1.91869918699187,796773.241638184,4203.94192949508
1844,2145,2018,1.33333333333333,3260223.65270996,7853.15876163856
1845,1014,2018,1.87719298245614,700340.181762695,3623.57253036796
1846,2224,2018,1.7037037037037,3000053.08178711,7909.46456179342
1847,5715,2018,1.58024691358025,3408257.10644531,8781.72038416707
1848,2144,2018,1.39622641509434,7967231.41351318,24703.2372236608
1849,5719,2018,1.55555555555556,3274674.14349365,9301.67066275978
1850,5028,2018,1.87134502923977,1542427.58935547,6603.77286135058
1851,1002,2018,2.01851851851852,780662.739868164,4019.25036895327
1852,6415,2018,1.43434343434343,3740223.73632813,11891.2368857486
1853,6620,2018,1.45679012345679,2315337.6395874,6315.73742081887
1854,0907,2018,1.35964912280702,17715685.9248047,19358.8865883916
1855,6322,2018,1.48571428571429,2343806.85473633,10836.4611389205
1856,5630,2018,1.84615384615385,2753104.89697266,7794.41682068244
1857,6311,2018,1.52777777777778,6719910.39086914,15127.9783359117
1858,6644,2018,1.35555555555556,1451864.94458008,5404.57076026761
1859,6630,2018,1.34782608695652,2739660.7144165,7476.08482917359
1860,5635,2018,1.70833333333333,2650419.77191162,8645.48079020608
1861,6635,2018,1.47619047619048,1428949.19415283,4781.50211430328
1862,5641,2018,1.6969696969697,6734975.00805664,16365.6797692352
1863,6636,2018,1.48,2468571.58764648,7038.08305368066
1864,6312,2018,1.53488372093023,4417087.08056641,10747.8234772462
1865,6633,2018,1.42635658914729,3569239.69549561,9921.26859460837
1866,6645,2018,1.35632183908046,863208.458557129,3770.98557636438
1867,6637,2018,1.34959349593496,2134757.61651611,7403.07089295999
1868,6625,2018,1.33333333333333,2424454.91741943,7808.96547028145
1869,6631,2018,1.42635658914729,2111214.12872314,5744.12796099808
1870,6314,2018,1.36,2314705.50335693,9666.51786865829
1871,6323,2018,1.37333333333333,2113056.77630615,6288.28155241478
1872,6629,2018,1.38095238095238,5684077.26464844,15380.1664765148
1873,6301,2018,1.33333333333333,2773066.50567627,8110.28263720667
1874,2134,2018,1.35159817351598,24960588.8015137,27851.4330632166
1875,5631,2018,1.64227642276423,2483674.91021729,6940.62063565161
1876,5017,2018,1.48333333333333,1473572.95507813,6938.31413414346
1877,5727,2018,1.74193548387097,15445161.4593506,17323.6012171033
1878,5001,2018,1.59649122807018,1000336.15301514,4992.97877072527
1879,5722,2018,1.46341463414634,4141099.85211182,10061.6488071007
1880,5716,2018,1.64912280701754,2010585.64880371,6972.5622772099
1881,5008,2018,1.58518518518519,1059211.33398438,4131.10316013381
1882,5016,2018,2.10416666666667,978868.391418457,4109.56383636262
1883,5005,2018,1.54022988505747,2547659.3638916,7007.69018410935
1884,5720,2018,1.33333333333333,1363945.36077881,5571.85180453148
1885,5030,2018,1.85185185185185,971626.419311523,5756.73966334576
1886,5708,2018,1.44,5486794.16973877,15587.7756829667
1887,5622,2018,1.6078431372549,2243390.87023926,8138.7903649348
1888,5724,2018,1.44444444444444,1403984.71343994,7325.25951272931
1889,5608,2018,1.44973544973545,4612682.52612305,12815.3714134738
1890,5606,2018,1.42857142857143,2633234.84649658,7265.61506015623
1891,5024,2018,1.77358490566038,1884597.43023682,5858.15104416912
1892,5026,2018,1.87037037037037,950762.826416016,5070.71423615088
1893,1003,2018,2.11494252873563,756806.041564941,3770.27608438789
1894,5611,2018,1.47517730496454,1524884.64019775,6970.67144351537
1895,5709,2018,1.36,1306192.53741455,6746.83567868577
1896,6313,2018,1.34502923976608,2178378.62237549,8160.56390830209
1897,6306,2018,1.41176470588235,2689755.32299805,7299.87920664358
1898,2207,2018,1.43333333333333,2612316.94476318,6712.84527861442
1899,2204,2018,1.41463414634146,1569137.62957764,6709.42156905838
1900,1708,2018,2.32748538011696,1076071.62536621,4699.5564732714
1901,1707,2018,2.12820512820513,1085359.9432373,4691.89158671166
1902,5316,2018,1.82113821138211,2121003.2130127,7204.72622077774
1903,4908,2018,1.5952380952381,2424539.23999023,6870.71209183782
1904,3508,2018,1.77777777777778,1539138.27636719,5953.89872850431
1905,0915,2018,1.3968253968254,3992349.55328369,10314.3524427848
